instance,n,初期解,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n
p1000-2,1000,671195,777619,807433,792027,814228,756844,794584,769677,802442
,,5.969,18.344,1.391,3.938,13.422,184.016,2.078,16.641,
p1000-3,1000,637793,760518,780606,773033,794665,734103,766196,742353,792231
,,7.531,19.969,1.203,3.844,26.844,132.266,3.328,16.766,
p1000-4,1000,665239,744539,794031,746871,789345,722998,775967,730444,783134
,,4.938,25.766,1.141,2.875,10.828,251.578,2.422,17.031,
p1000-5,1000,681780,774552,800323,792266,821930,767430,784178,777750,797247
,,4.844,18.141,1.344,3.906,28.875,172.047,4.406,22.969,
p1500-1,1500,1222135,1377309,1458698,1432203,1473532,1347481,1425283,1373388,1451586
,,16.562,88.203,4.203,14.406,56.719,1129.891,7.391,90.109,
p1500-2,1500,1255515,1435396,1508231,1431410,1519464,1382202,1482994,1398550,1490861
,,18.188,93.562,2.391,15.297,42.891,1067.984,9.047,61.812,
p1500-3,1500,1224808,1362977,1460695,1404737,1481266,1360240,1420659,1375326,1452841
,,14.984,98.094,4.391,20.562,76.922,1070.078,8.531,82.328,
p1500-4,1500,1207062,1394854,1504084,1406910,1510708,1345226,1507481,1347004,1490998
,,17.953,107.719,3.953,13.031,45.734,2119.844,4.812,104.938,
p1500-5,1500,1190284,1354257,1444105,1370743,1452960,1310375,1411040,1321196,1429812
,,17.547,95.672,3.609,14.203,51.828,1536.297,7.984,92.031,
p2000-1,2000,1917214,2131709,2277778,2160666,2291876,2075167,2204750,2143017,2256860
,,31.984,261.047,4.594,36.938,126.75,>3600,19.797,315.062,
p2000-2,2000,1905715,2184093,2274370,2192185,2302121,2129027,2238507,2163157,2258067
,,37.781,204.078,5.688,32.812,177.781,>3600,21.234,211,
p2000-3,2000,1962117,2195211,2356851,2221112,2341341,2131470,2292014,2180422,2329567
,,33.875,265.141,4.578,16.547,92.234,>3600,19.516,424.219,
p2000-4,2000,1915259,2200164,2308821,2183252,2310487,2120179,2265495,2105334,2301364
,,35.266,212.391,5.109,26.219,97.797,3593.938,10.359,200.297,
p2000-5,2000,1895562,2138574,2296745,2175060,2310882,2130025,2207617,2119961,2275151
,,30.297,258.547,5.438,38.359,190,>3600,15.359,320,
gauss500-100-1,500,217353,242714,244701,245027,246665,237585,237068,242225,240154
,,0.875,1.516,0.172,0.297,3.125,6.328,0.547,1.453,
gauss500-100-2,500,216345,240373,243729,242620,246214,226928,235605,234924,242848
,,0.75,1.453,0.141,0.219,1.328,10.344,0.594,2.016,
gauss500-100-3,500,201051,228916,227819,227479,235010,217715,219442,218044,222210
,,1.188,1.203,0.188,0.359,2.484,8.109,0.391,1.078,
gauss500-100-4,500,216417,238960,246266,241237,253379,234159,237414,232645,240324
,,0.719,1.672,0.141,0.281,2.938,11.609,0.234,0.969,
gauss500-100-5,500,214786,240353,243413,242845,248476,225341,234700,234940,242933
,,0.625,1.453,0.172,0.344,0.969,6.516,0.312,1.578,
unif700-100-1,700,391991,446762,469728,451611,473651,442692,464932,457919,470390
,,2.172,6.797,0.375,0.781,6.391,40.578,1.844,4.062,
unif700-100-2,700,394632,453213,468683,464545,479180,447643,450199,455216,458024
,,1.875,5.875,0.562,1.141,7.25,30.547,1.062,2.203,
unif700-100-3,700,398345,450273,467654,471629,474304,457105,463178,456962,465627
,,2.016,6.188,0.656,0.844,11.109,38.234,1.391,2.703,
unif700-100-4,700,391289,447538,474843,458514,473073,444058,450411,450859,473800
,,1.594,7.094,0.469,1.203,7.219,21.891,1.531,7,
unif700-100-5,700,396282,449967,450522,455113,460095,444865,454464,450803,452668
,,2.031,3.344,0.375,0.703,6.5,30.156,1.484,3.984,
unif800-100-1,800,497743,570433,582925,582210,586819,564586,581394,571141,583108
,,2.938,9.828,0.656,1.406,9.547,64.906,1.328,7.312,
unif800-100-2,800,461851,551034,572869,562083,585142,546110,562845,549628,560524
,,3.109,10.797,0.766,2.203,19.062,71.609,1.906,6.406,
unif800-100-3,800,477103,575373,580126,575177,593705,552410,583673,560812,581047
,,4.5,8.297,1.047,1.672,9.75,89.203,1.562,4.906,
unif800-100-4,800,463130,542751,558722,553570,566422,527012,556841,544268,563090
,,4.734,11.5,0.594,1.328,8.422,77.484,1.984,5.078,
unif800-100-5,800,471687,556144,569908,561882,567632,537263,554868,551903,569567
,,4.375,10.094,0.625,1.141,5.922,44.609,1.266,8.719,
b2500-1,2500,825231,884893,948170,896077,956212,875114,906093,895238,963023
,,35.234,348.844,5.469,33.719,191.312,>3600,34.375,723.797,
b2500-2,2500,811190,899684,955183,905716,966659,865071,904274,881664,956989
,,63.266,427.453,7.172,33.766,171.406,>3600,22.469,606.203,
b2500-3,2500,849806,920245,954127,928385,984996,893060,919350,901279,984982
,,49.484,295.469,12.156,41.703,162.688,>3600,17.078,623.922,
b2500-4,2500,818235,895915,959630,892268,959013,868872,902084,886969,966221
,,51.438,448.375,6.812,58.047,177.453,>3600,30.672,880.031,
b2500-5,2500,817255,895158,966212,902335,967171,863031,915529,880269,965176
,,56.031,534.828,8.5,44.172,268.562,>3600,37.938,455.641,
b2500-6,2500,808782,885344,951249,900007,960810,858319,909545,870307,969090
,,45.891,365.172,7.297,46.328,147.719,>3600,15.609,551.562,
b2500-7,2500,825735,870720,953073,885326,975485,870995,876521,877539,934741
,,28.953,446.531,7.062,65.453,227.484,>3600,28.984,670.016,
b2500-8,2500,815374,887764,970042,898437,970568,865406,901240,877140,968861
,,38.203,491.359,7.359,35.281,138.906,>3600,23.031,775.453,
b2500-9,2500,836568,904838,967616,908450,974044,884500,917201,893718,975763
,,36.859,416.609,5.406,51.281,132.859,>3600,16.172,678.781,
b2500-10,2500,827439,893720,960509,901383,980693,866260,899733,881091,938949
,,46.453,447.047,7.875,38.672,183.219,>3600,30.656,459.812,
CPn35-1,35,6518,6518,6518,6518,6518,6576,6576,6576,6576
,,0,0,0,0,0,0,0,0,
CPn35-2,35,6309,6375,6375,6375,6375,6375,6375,6382,6382
,,0,0,0,0,0,0,0,0,
CPn35-3,35,6508,6508,6508,6508,6508,6508,6508,6508,6508
,,0,0,0,0,0,0,0,0,
CPn35-4,35,6533,6533,6533,6533,6533,6533,6533,6533,6533
,,0,0,0,0,0,0,0,0,
CPn45-1,45,9188,9586,9586,9586,9586,9325,9325,9325,9325
,,0,0,0,0,0,0,0,0,
CPn45-2,45,9342,9692,9692,9810,9810,9632,9632,10188,10188
,,0,0,0,0,0,0,0,0,
CPn45-3,45,9725,9868,9868,9868,9868,10322,10322,10335,10335
,,0,0,0,0,0,0,0,0,
CPn45-4,45,8763,8938,8938,8938,8938,8878,8878,8878,8878
,,0.016,0,0,0,0,0,0,0,
CPn50-1,50,10800,11809,11809,12152,12152,11742,11742,11683,11683
,,0,0,0,0,0,0,0,0,
CPn50-2,50,11794,12096,12096,12096,12096,11909,11909,11909,11909
,,0,0,0,0,0,0,0,0,
CPn50-3,50,10452,10970,10970,10970,10970,10686,10686,11163,11163
,,0,0,0,0,0,0,0,0,
CPn50-4,50,10416,11354,11354,11400,11400,11324,11324,11324,11324
,,0,0,0,0,0,0,0,0,
CPn65-1,65,16382,17004,17004,16972,16972,17433,17433,17748,17748
,,0,0,0,0,0.016,0,0,0.016,
CPn65-2,65,17126,18003,18003,18573,18573,17465,17465,17465,17465
,,0,0,0,0,0,0,0,0,
CPn65-3,65,16152,16795,16795,16795,16795,16504,16504,16504,16504
,,0,0,0,0,0,0,0,0,
CPn65-4,65,15219,16139,16139,16153,16153,15782,15782,16013,16013
,,0.016,0,0,0,0,0,0,0,
CPn100-1,100,28158,29772,29772,29553,29553,29126,29126,29834,29834
,,0,0,0,0,0,0.016,0,0.016,
CPn100-2,100,27683,27851,27851,27851,27851,28706,28706,29259,29259
,,0,0,0,0.016,0,0.016,0,0,
CPn100-3,100,30946,31795,31795,31808,31808,31456,31456,31665,31665
,,0.016,0,0,0,0.016,0,0,0,
CPn100-4,100,32172,33050,33050,33050,33050,32554,32554,32524,32524
,,0,0,0,0,0,0,0.016,0,
am-25-3,50,100,100,100,100,100,100,100,100,100
,,0,0,0,0,0,0,0,0,
am-25-10,50,275,275,275,275,275,275,275,275,275
,,0,0,0,0,0,0,0,0,
am-25-20,50,525,525,525,525,525,525,525,525,525
,,0,0,0,0,0,0,0,0,
am-50-3,100,200,200,200,200,200,200,200,200,200
,,0,0,0,0,0,0,0,0,
am-50-10,100,550,550,550,550,550,550,550,550,550
,,0,0,0,0,0,0,0,0,
am-50-20,100,1050,1050,1050,1050,1050,1050,1050,1050,1050
,,0,0,0,0,0,0,0,0,
am-75-3,150,300,300,300,300,300,300,300,300,300
,,0,0,0,0,0,0,0,0,
am-75-10,150,825,825,825,825,825,825,825,825,825
,,0,0,0,0,0,0,0,0,
am-75-20,150,1575,1575,1575,1575,1575,1575,1575,1575,1575
,,0,0,0,0.016,0,0,0,0,
am-100-3,200,400,400,400,400,400,400,400,400,400
,,0,0.016,0.016,0,0,0,0,0,
am-100-10,200,1100,1100,1100,1100,1100,1100,1100,1100,1100
,,0,0.016,0,0,0,0.016,0,0,
am-100-20,200,2100,2100,2100,2100,2100,2100,2100,2100,2100
,,0.016,0,0,0,0.016,0,0,0,
am-125-3,250,500,500,500,500,500,500,500,500,500
,,0.016,0,0,0,0.016,0.016,0,0.016,
am-125-10,250,1375,1375,1375,1375,1375,1375,1375,1375,1375
,,0,0,0.016,0,0,0,0,0,
am-125-20,250,2625,2625,2625,2625,2625,2625,2625,2625,2625
,,0,0,0,0.016,0,0,0.016,0,
am-150-3,300,600,600,600,600,600,600,600,600,600
,,0,0.016,0.016,0.016,0.016,0.016,0,0,
am-150-10,300,1650,1650,1650,1650,1650,1650,1650,1650,1650
,,0.016,0.016,0.016,0.016,0.016,0,0,0.016,
am-150-20,300,3150,3150,3150,3150,3150,3150,3150,3150,3150
,,0.016,0,0.016,0.016,0.016,0,0,0.016,
neg-c-00,50,598,659,659,681,681,678,678,671,671
,,0,0,0,0,0,0.016,0,0,
neg-c-10,50,510,638,638,639,639,620,620,628,628
,,0,0,0,0.016,0,0,0,0,
neg-c-20,50,520,578,578,546,546,525,525,525,525
,,0,0,0,0,0,0,0,0,
neg-c-30,50,454,492,492,492,492,473,473,486,486
,,0,0,0,0,0,0,0,0,
neg-c-40,50,500,538,538,538,538,537,537,525,525
,,0,0,0,0,0,0,0,0,
neg-c-50,50,525,525,525,525,525,525,525,525,525
,,0,0,0,0,0,0,0,0,
neg-c-60,50,426,437,437,437,437,432,432,432,432
,,0,0,0,0,0,0,0,0,
neg-c-70,50,427,443,443,443,443,440,440,440,440
,,0,0,0,0,0,0,0,0,
neg-c-80,50,305,315,315,314,314,315,315,315,315
,,0,0,0,0,0,0,0,0,
neg-s-80,60,442,442,442,442,442,442,442,442,442
,,0,0,0,0,0,0,0,0,
neg-tt-80,70,563,563,563,563,563,568,568,568,568
,,0,0,0,0,0,0,0,0,
corr40-1,40,2119,2190,2190,2190,2190,2119,2119,2119,2119
,,0,0,0,0,0,0,0,0,
corr40-2,40,1652,1831,1831,1831,1831,1659,1659,1825,1825
,,0,0,0,0,0,0,0,0,
corr40-3,40,2247,2276,2276,2276,2276,2276,2276,2276,2276
,,0,0,0,0,0,0,0,0,
corr40-4,40,1985,1985,1985,1985,1985,1985,1985,1985,1985
,,0,0,0,0,0,0,0,0,
corr40-5,40,2137,2218,2218,2218,2218,2229,2229,2229,2229
,,0,0,0,0,0,0,0,0,
corr40-6,40,2440,2453,2453,2516,2516,2516,2516,2516,2516
,,0,0,0,0,0,0,0,0,
corr40-7,40,2058,2253,2253,2269,2269,2219,2219,2227,2227
,,0,0,0,0,0,0,0,0,
corr40-8,40,2166,2178,2178,2178,2178,2166,2166,2166,2166
,,0,0,0,0,0,0,0,0,
corr40-9,40,2085,2129,2129,2129,2129,2112,2112,2112,2112
,,0,0,0,0,0,0,0,0,
corr40-10,40,2119,2293,2293,2293,2293,2268,2268,2293,2293
,,0,0,0,0,0,0,0,0,
corr60-1,60,3609,3638,3638,3638,3638,3642,3642,3642,3642
,,0,0,0,0,0.016,0,0.016,0,
corr60-2,60,3093,3190,3190,3190,3190,3093,3093,3093,3093
,,0,0,0.016,0,0,0,0,0,
corr60-3,60,3415,3495,3495,3584,3584,3516,3516,3545,3545
,,0,0,0,0,0,0,0,0,
corr60-4,60,3172,3466,3466,3466,3466,3341,3341,3389,3389
,,0.016,0,0,0,0,0,0,0,
corr60-5,60,3277,3301,3301,3301,3301,3277,3277,3277,3277
,,0,0,0,0,0,0,0,0,
corr60-6,60,2812,3295,3295,3295,3295,3158,3158,3281,3281
,,0,0.016,0,0,0,0,0,0,
corr60-7,60,3115,3238,3238,3238,3238,3185,3185,3310,3310
,,0,0,0,0,0,0,0,0,
corr60-8,60,3049,3220,3220,3540,3540,3453,3453,3152,3152
,,0,0,0,0,0,0,0,0,
corr60-9,60,3185,3250,3250,3250,3250,3243,3243,3243,3243
,,0,0,0,0,0,0,0,0,
corr60-10,60,3282,3560,3560,3556,3556,3570,3570,3517,3517
,,0,0,0,0,0,0,0,0,
corr80-1,80,4024,4491,4491,4491,4491,4419,4419,4320,4320
,,0,0,0,0,0,0.016,0,0,
corr80-2,80,4259,4621,4621,4621,4621,4456,4456,4451,4451
,,0,0,0,0,0.016,0,0.016,0.016,
corr80-3,80,4516,4844,4844,4881,4881,4854,4854,4866,4866
,,0,0,0,0,0.016,0,0,0,
corr80-4,80,3826,4405,4405,4421,4421,4327,4327,4210,4210
,,0,0,0,0,0,0.016,0,0,
corr80-5,80,4311,4981,4981,5007,5007,4427,4427,4620,4620
,,0,0.016,0,0,0,0,0,0,
corr80-6,80,4008,4266,4266,4264,4264,4198,4198,4392,4392
,,0,0,0,0,0,0.016,0.016,0,
corr80-7,80,4157,4409,4409,4689,4689,4865,4865,4624,4624
,,0,0,0,0.016,0.016,0.016,0,0,
corr80-8,80,4544,4688,4688,4688,4688,4670,4670,4688,4688
,,0,0,0,0,0.016,0,0,0,
corr80-9,80,3907,4114,4114,4143,4143,3987,3987,4012,4012
,,0,0,0,0,0,0,0,0,
corr80-10,80,4227,4494,4494,4861,4861,4385,4385,4745,4745
,,0,0,0,0,0,0.016,0.016,0,
