instance,n,value,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS,BOEM,EBOEM,KL,Louvain
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n,,,,
p1000-4,1000,869374,792879,792879,797736,797736,757319,757319,767460,767460,789836,796184,816193,796184
,,,23.203,23.703,3.812,3.953,43.688,44.391,5.516,5.516,1.094,0.062,5.766,0.078
p1000-5,1000,888960,805367,805367,813860,813860,782613,782613,783038,783038,798626,807035,825015,807035
,,,21.406,21.359,3.781,3.547,65.859,66.109,6.078,6.047,1.062,0.078,5.281,0.094
p1500-1,1500,1619470,1472445,1472445,1481343,1486067,1374918,1374918,1415244,1415244,1472759,1478279,1490162,1478279
,,,101.625,113.969,9.047,15.219,282.5,282.438,37.156,36.797,5.375,0.281,22.875,0.312
p1500-2,1500,1649778,1487975,1487975,1506634,1510409,1395416,1395416,1406188,1406188,1480506,1500495,1533239,1500495
,,,111.438,118.359,12.406,18.891,341.312,340.5,20.656,20.688,4.5,0.234,18.109,0.234
p1500-3,1500,1611197,1444644,1444644,1462313,1462313,1409105,1409105,1387607,1387607,1463407,1465695,1501321,1465695
,,,102.75,105.344,11.016,14.359,510.078,508.547,21.078,21.062,6.328,0.344,19.125,0.375
p1500-4,1500,1641933,1471790,1471790,1497937,1497937,1431916,1431916,1419918,1419918,1482073,1523947,1544900,1523947
,,,91.172,94.609,6.344,7.703,647.016,643.984,35.141,35.438,4.922,0.406,23.859,0.469
p1500-5,1500,1595627,1428866,1428866,1454318,1465018,1359353,1359353,1377991,1377991,1421250,1433002,1474594,1433002
,,,100.156,105.344,11.984,18.047,350.391,350.125,25.938,25.594,4.516,0.359,23.422,0.375
p2000-1,2000,2508005,2236232,2257681,2264215,2280409,2148373,2148373,2187301,2187301,2262129,2280334,2339621,2280334
,,,213.047,316.703,13.469,21.156,1234.719,1233.516,102.734,101.844,12.047,0.719,45.828,0.797
p2000-2,2000,2495730,2246761,2249978,2248759,2278125,2092358,2092358,2194092,2194092,2254373,2266889,2325705,2266889
,,,262.125,311.906,15.953,45.047,783.422,786.812,183.438,183.969,11.766,0.625,37.547,0.672
p2000-3,2000,2544728,2298069,2312173,2326637,2341883,2229975,2229975,2250016,2250016,2337437,2331028,2371352,2331028
,,,186.688,257.891,18.672,19.266,1199.266,1202.531,82.562,82.25,12.484,0.719,46.234,0.781
p2000-4,2000,2528721,2251989,2290790,2261380,2280927,2130625,2130625,2203899,2203899,2319184,2294027,2353326,2294027
,,,169.078,266.594,19,22.656,904.125,905.812,127.109,126.188,16.125,0.625,50.172,0.641
p2000-5,2000,2514009,2298489,2289921,2305408,2321028,2177491,2177491,2190231,2190231,2267229,2311177,2368858,2311177
,,,284.453,313.562,27.969,36.875,1151.344,1155.234,117.5,117.062,11.641,0.594,44.672,0.641
gauss500-100-1,500,265070,240976,240976,242846,242846,234422,234422,234287,234287,239182,246900,250434,246900
,,,1.297,1.281,0.156,0.188,2.359,2.234,0.328,0.359,0.125,0,0.797,0.016
gauss500-100-2,500,269076,241850,241850,249240,249240,242939,242939,238655,238655,242353,246090,250448,246090
,,,1,1.016,0.203,0.219,3.906,3.922,0.516,0.5,0.094,0.016,0.766,0.016
gauss500-100-3,500,257700,226489,226489,228467,228467,212981,212981,224350,224350,232508,230633,242388,230633
,,,1.5,1.422,0.203,0.188,1.594,1.562,0.562,0.578,0.172,0.016,1.078,0.016
gauss500-100-4,500,267683,242507,242507,251817,251817,232395,232395,239845,239845,240100,251495,257945,251495
,,,1.75,1.766,0.234,0.281,1.844,1.734,0.469,0.438,0.125,0.016,0.969,0.016
gauss500-100-5,500,271567,244338,244338,249663,249663,240089,240089,239138,239138,245210,252102,253113,251738
,,,0.922,0.953,0.234,0.234,3.141,2.938,0.594,0.578,0.094,0.016,0.812,0.031
unif700-100-1,700,515016,472493,472493,469387,469387,450884,450884,458056,458056,462564,471348,480358,471348
,,,6.859,6.812,1.188,1.266,9.734,9.531,1.578,1.562,0.328,0.047,2.438,0.047
unif700-100-2,700,519441,465746,465746,470037,470037,441124,441124,442588,442588,470959,471818,483071,471818
,,,6.25,6.109,0.656,0.703,12.828,12.297,1.484,1.734,0.594,0.047,2.141,0.031
unif700-100-3,700,512351,473873,473873,469744,469744,444036,444036,449199,449199,465538,465865,474049,465865
,,,8.141,8.25,1.094,1.312,9.172,8.75,1.344,1.516,0.375,0.031,2.344,0.047
unif700-100-4,700,513582,467131,467131,470472,470472,450462,450462,451578,451578,463141,469374,486596,469098
,,,6.344,6.281,0.656,0.672,16.75,16.516,1.844,1.938,0.5,0.016,2.594,0.047
unif700-100-5,700,510585,465883,465883,470487,470487,436110,436110,452388,452388,462133,467622,469704,467622
,,,6.766,6.719,1.281,1.203,8.156,8.016,2.016,1.906,0.406,0.062,1.781,0.062
unif800-100-1,800,639675,581934,581934,581085,581085,546205,546205,558410,558410,586593,594610,599668,594610
,,,12.969,13.094,1.391,1.344,20.781,20.5,2.828,2.625,0.906,0.078,4.484,0.078
unif800-100-2,800,630704,575386,575386,563229,563229,529429,529429,537474,537474,566143,566824,589508,566824
,,,12.797,12.609,1.719,1.359,11.984,12.109,1.188,1.344,0.734,0.062,3.641,0.047
unif800-100-3,800,629375,576742,576742,579376,579376,546341,546341,553921,553921,570733,581343,592414,581343
,,,11.906,12.219,1.406,1.219,16.219,15.562,2.438,2.766,0.594,0.047,2.281,0.047
unif800-100-4,800,624728,565190,565190,574922,574922,551059,551059,560495,560495,575891,574730,594905,574730
,,,11,11.109,1.516,1.484,24.297,25.016,3.484,3.562,0.875,0.062,3.672,0.062
unif800-100-5,800,625905,576905,576905,574899,574899,544304,544304,552415,552415,570808,574622,585690,574622
,,,11.547,11.547,1.266,1.281,14.453,14.422,2.219,2.062,0.578,0.062,2.891,0.062
b2500-1,2500,1063621,956204,956561,961581,969201,922287,921348,940450,940450,949429,962334,997375,962260
,,,433.297,578.344,28.156,44.172,>3600,>3600,318.219,270.203,18.359,0.562,94.641,0.781
b2500-2,2500,1064144,939225,939225,945746,958808,906918,906918,922441,922441,942285,955322,971075,955322
,,,366.859,432.516,24.719,56.625,1934.516,1939.594,240.797,241.688,19.141,0.766,60.75,0.891
b2500-3,2500,1082946,969241,973549,964096,974016,934972,934972,940031,940031,978349,971239,1005201,971239
,,,431.016,551.719,19.594,42.938,2030.094,2034.344,237.656,236.469,22.984,0.625,76.297,0.688
